ortho	phon	lemme	cgram	cgramortho	genre	nombre	infover	syll_cv	orthosyll_cv	freqlivres	freqfilms2
iconographies	ikonogRafi	iconographie	NOM	NOM	f	p		i|k_o|n_o|g_R_a|f_i_#	i|c_o|n_o|g_r_a|ph_i_es	0,07	0,01
ictérique	ikteRik	ictérique	ADJ	ADJ		s		i_k|t_e|R_i_k_#	i_c|t_é|r_i_qu_e	0	0,01
identificateur	id@tifikat9R	identificateur	ADJ	ADJ,NOM	m	s		i|d_@|t_i|f_i|k_a|t_9_R	i|d_en|t_i|f_i|c_a|t_eu_r	0	0,01
identifierais	id@tifiRE	identifier	VER	VER			cnd:pre:1s;	i|d_@|t_i|f_i_#|R_E	i|d_en|t_i|f_i_e|r_ais	0,2	0,01
idiomatique	idjomatik	idiomatique	ADJ	ADJ		s		i|d_j_o|m_a|t_i_k_#	i|d_i_o|m_a|t_i_qu_e	0	0,01
idiomatiques	idjomatik	idiomatique	ADJ	ADJ	f	p		i|d_j_o|m_a|t_i_k_#	i|d_i_o|m_a|t_i_qu_es	0,07	0,01
idiosyncrasique	idjOs5kRazik	idiosyncrasique	ADJ	ADJ	m	s		i|d_j_O|s_5|k_R_a|z_i_k_#	i|d_i_o|s_yn|c_r_a|s_i_qu_e	0	0,01
idoine	idwan	idoine	ADJ	ADJ		s		i|d_wa_n_#	i|d_oi_n_e	0,74	0,01
idoines	idwan	idoine	ADJ	ADJ		p		i|d_wa_n_#	i|d_oi_n_es	0,2	0,01
idolâtre	idolatR	idolâtre	ADJ	ADJ,NOM,VER		s		i|d_o|l_a_t_R_#	i|d_o|l_â_t_r_e	0,47	0,01
idéalisent	idealiz	idéaliser	VER	VER			ind:pre:3p;	i|d_e|a|l_i_z_#	i|d_é|a|l_i_s_ent	0,07	0,01
idéalisées	idealize	idéaliser	VER	VER	f	p	par:pas;	i|d_e|a|l_i|z_e_#	i|d_é|a|l_i|s_é_es	0	0,01
idéalisés	idealize	idéaliser	VER	VER	m	p	par:pas;	i|d_e|a|l_i|z_e_#	i|d_é|a|l_i|s_é_s	0,07	0,01
idéals	ideal	idéal	ADJ	ADJ,NOM	m	p		i|d_e|a_l_#	i|d_é|a_l_s	0	0,01
idéel	ideEl	idéel	ADJ	ADJ	m	s		i|d_e|E_l	i|d_é|e_l	0	0,01
idéographie	ideOgRafi	idéographie	NOM	NOM	f	s		i|d_e|O|g_R_a|f_i_#	i|d_é|o|g_r_a|ph_i_e	0	0,01
ignifugeant	iNifyZ@	ignifugeant	ADJ	ADJ,VER	m	s		i|N_i|f_y|Z_@	i|gn_i|f_u|ge_ant	0	0,01
ignifugeant	iNifyZ@	ignifuger	VER	ADJ,VER			par:pre;	i|N_i|f_y|Z_@	i|gn_i|f_u|ge_ant	0	0,01
ignifugés	iNifyZe	ignifugé	ADJ	ADJ	m	p		i|N_i|f_y|Z_e_#	i|gn_i|f_u|g_é_s	0,07	0,01
ignominieuses	iNomiN2z	ignominieux	ADJ	ADJ	f	p		i|N_o|m_i|N_2_z_#	i|gn_o|m_i|ni_eu_s_es	0,07	0,01
ignoreraient	iNOR°RE	ignorer	VER	VER			cnd:pre:3p;	i|N_O|R_°|R_E	i|gn_o|r_e|r_aient	0	0,01
igue	ig	igue	NOM	NOM	f	s		i_g_#	i_gu_e	0	0,01
il	il	il	ADV	ADJ:num,ADV,PRO:per				i_l	i_l	0	0,01
iliaques	iljak	iliaque	ADJ	ADJ	f	p		i|l_j_a_k_#	i|l_i_a_qu_es	0,14	0,01
ilium	iljOm	ilium	NOM	NOM	m	s		i|l_j_O_m	i|l_i_u_m	0	0,01
illicitement	ilisit°m@	illicitement	ADV	ADV				i|l_i|s_i|t_°|m_@	i|ll_i|c_i|t_e|m_ent	0	0,01
illogisme	iloZizm	illogisme	NOM	NOM	m	s		i|l_o|Z_i_z_m_#	i|ll_o|g_i_s_m_e	0,34	0,01
illumineront	ilymin°R§	illuminer	VER	VER			ind:fut:3p;	i|l_y|m_i|n_°|R_§	i|ll_u|m_i|n_e|r_ont	0,07	0,01
illuminées	ilymine	illuminer	VER	VER,ADJ	f	p	par:pas;	i|l_y|m_i|n_e_#	i|ll_u|m_i|n_é_es	0,81	0,01
illuminées	ilymine	illuminé	ADJ	VER,ADJ	f	p		i|l_y|m_i|n_e_#	i|ll_u|m_i|n_é_es	1,08	0,01
illusionnisme	ilyzjonizm	illusionnisme	NOM	NOM	m	s		i|l_y|z_j_o|n_i_z_m_#	i|ll_u|s_i_o|nn_i_s_m_e	0,34	0,01
illustraient	ilystRE	illustrer	VER	VER			ind:imp:3p;	i|l_y_s|t_R_E	i|ll_u_s|t_r_aient	0,61	0,01
illustrera	ilystR°Ra	illustrer	VER	VER			ind:fut:3s;	i|l_y_s|t_R_°|R_a	i|ll_u_s|t_r_e|r_a	0,07	0,01
