ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph
non-violent	n§vjol@	non-violent	NOM	m	s	0.07	0.07	0.05	0.07		2	4	1	11	7	CVC-CVVCVCC	CVCYVCV	0	0	11	7	n§-vjo-l@	3	CV-CYV-CV	tneloiv-non	@lojv§n	non-violent	ADJ,NOM			3.5	2.7	non-violent	2
nourricières	nuRisjER	nourricier	NOM	f	p	0.02	0.20	0.00	0.07		2	4	0	12	8	CVVCCVCVVCVC	CVCVCYVC	0	1	0	0	nu-Ri-sjER	3	CV-CV-CYVC	serèicirruon	REjsiRun	nour-ri-ciè-res	ADJ,NOM			3.3	2.6	nourricier	1
obvie	Obvi	obvie	ADJ		s	0.00	0.07	0.00	0.07		1	1	1	5	4	VCCVV	VCCV	1	0	5	4	Ob-vi	2	VC-CV	eivbo	ivbO	ob-vie	ADJ	10	19	1.9	1.95	obvie	1
odoriférante	odoRifeR@t	odoriférant	ADJ	f	s	0.01	0.74	0.00	0.20		1	2	0	12	10	VCVCVCVCVCCV	VCVCVCVCVC	1	0	0	0	o-do-Ri-fe-R@t	5	V-CV-CV-CV-CVC	etnaréfirodo	t@RefiRodo	o-do-ri-fé-ran-te	ADJ	80	21	3.8	3.7	odoriférant	1
orient	oRj@	orient	NOM	m	s	0.78	3.78	0.78	3.72		1	2	1	6	4	VCVVCC	VCYV	4	2	6	4	o-Rj@	2	V-CYV	tneiro	@jRo	o-rient	NOM	95	21	1.55	1.75	orient	1
pencherais	p@S°RE	pencher	VER			16.90	155.88	0.13	0.34	cnd:pre:1s;	1	4	0	10	6	CVCCCVCVVC	CVCVCV	1	6	0	0	p@-S°-RE	3	CV-CV-CV	siarehcnep	ER°S@p	pen-che-rais	VER	96	25	2.4		pencher	1
positiviste	pozitivist	positiviste	ADJ		s	0.20	0.20	0.20	0.14		2	3	1	11	10	CVCVCVCVCCV	CVCVCVCVCC	1	0	10	9	po-zi-ti-vist	4	CV-CV-CV-CVCC	etsivitisop	tsivitizop	po-si-ti-vis-te	ADJ,NOM	80	20	3.5	3.9	positive-iste	2
priveriez	pRiv°Rje	priver	VER			24.06	42.70	0.12	0.00	cnd:pre:2p;	1	1	0	9	8	CCVCVCVVC	CCVCVCYV	0	1	0	0	pRi-v°-Rje	3	CCV-CV-CYV	zeirevirp	ejR°viRp	pri-ve-riez	VER	100	21	2.5	2.55	priver	1
procurera	pRokyR°Ra	procurer	VER			12.77	27.97	0.21	0.07	ind:fut:3s;	1	2	0	9	9	CCVCVCVCV	CCVCVCVCV	0	2	0	0	pRo-ky-R°-Ra	4	CCV-CV-CV-CV	arerucorp	aR°RykoRp	pro-cu-re-ra	VER	93	16	2.15		procurer	1
purification	pyRifikasj§	purification	NOM	f	s	1.31	1.08	1.31	0.95		1	2	1	12	11	CVCVCVCVCVVC	CVCVCVCVCYV	0	0	10	9	py-Ri-fi-ka-sj§	5	CV-CV-CV-CV-CYV	noitacifirup	§jsakifiRyp	pu-ri-fi-ca-tion	NOM	100	24	2.55	2.6	pur-ifier-ion	3
pâtées	pate	pâtée	NOM	f	p	1.78	2.97	0.00	0.20		1	5	0	6	4	CVCVVC	CVCV	5	34	0	4	pa-te	2	CV-CV	seétâp	etap	pâ-tées	NOM	100	12	1.6	1	pâtée	1
